GERP_NR	GERP_RS	PhyloP	PhyloM	PhyloV	PhastP	PhastM	PhastV	GC	CpG	EncExp	EncH3K27Ac	EncH3K4Me1	EncH3K4Me3	EncOCCombPVal	EncOCDNasePVal	EncOCFairePVal	EncOCpolIIPVal	EncOCctcfPVal	EncOCmycPVal	EncOCDNaseSig	EncOCFaireSig	EncOCpolIISig	EncOCctcfSig	EncOCmycSig	TFBS	TFBSPeaks	TFBSPeaksMax	cHmmTSSOdds	cHmmTxOdds	cHmmEnhOdds	cHmmZnfOdds	cHmmReprOdds	bStatistic	minDistTSS	minDistTSE
2.56682308867	3.94759903978	0.468457142467	1.55817206769	3.57644934029	3.12198485328	5.86699274779	6.15747149823	0.921608905957	0.98864779754	0.795495597789	1.5591636092	0.88702940244	1.64508210133	1.83058276077	1.69923649006	1.98284756255	1.71731767123	1.02356084623	1.44029849892	1.84347065722	2.15182880459	1.83574968699	1.71783205077	1.85263694227	1.54976601236	1.53571347781	1.47604849762	1.6496876345	0.883296330136	1.21310281769	1.33751688993	0.64123269533	-0.511582512299	0.353874035611	-0.314484939257
2.56768013045	3.95965221083	0.471529449916	1.56402408716	3.57942802319	3.12571476976	5.86856384818	6.15712486266	0.920499298255	0.987628160569	0.7933815569	1.55788353183	0.885909147468	1.64360605765	1.83029757945	1.6989118601	1.9827609692	1.7166278365	1.02355885012	1.43976623667	1.8429205902	2.15152918618	1.83493867332	1.71736041682	1.85187900422	1.54935086018	1.53527620595	1.47546735843	1.64741074953	0.880151670838	1.21026409472	1.3344034589	0.639344826985	-0.510220198758	0.353619932574	-0.314939604313
2.56854828231	3.97134498565	0.474513373845	1.56969916929	3.58229747891	3.12931326344	5.87031230431	6.15662283752	0.919482496367	0.986697380772	0.791407536898	1.55667667299	0.884843472965	1.64224580653	1.8300541223	1.69863506072	1.98269529116	1.71600364081	1.02359680624	1.43928063165	1.84241384622	2.151264224	1.83418885803	1.71692019062	1.851180253	1.54898708439	1.53490544555	1.47493578136	1.64531015822	0.877214664211	1.20762453662	1.33150100705	0.637587909533	-0.508955495056	0.353400914665	-0.315365779366
2.5693768309	3.98268939	0.477417612764	1.57520188098	3.58505696013	3.13295070328	5.87216613301	6.15569201378	0.918548221899	0.985839740008	0.789566520504	1.5555660276	0.883864064016	1.64100199643	1.82984590586	1.69838450256	1.98266298086	1.71544897575	1.02363015143	1.43884169881	1.8419569187	2.15102525341	1.83350926571	1.71653533908	1.85056302666	1.54867498429	1.53458308248	1.47447417027	1.64334283249	0.874480295524	1.20518308112	1.32881571891	0.635954629358	-0.507773011226	0.353187900214	-0.315774602228
2.57020488371	3.99369291801	0.480248706594	1.58053879503	3.58761975623	3.13631796047	5.87338660129	6.15487231646	0.917687073895	0.985058969743	0.787867579966	1.55454084194	0.882956698306	1.63983555178	1.82967334292	1.69815763533	1.98262270121	1.71492982164	1.02366722547	1.4384653263	1.84154543945	2.15082355734	1.83289084649	1.71618873216	1.84999888051	1.54839044384	1.53430791891	1.47407609031	1.64153292071	0.871931037239	1.20291302831	1.32629524797	0.634445467525	-0.506668326139	0.353009698197	-0.316174498951
2.57103556193	4.00435029805	0.482992211001	1.58569507567	3.59028167633	3.13963604229	5.87560437535	6.15428853046	0.916882214124	0.98432476041	0.786266382933	1.55359288645	0.882102008813	1.63877047535	1.82951450143	1.69797351605	1.98262168517	1.71445803433	1.02372265729	1.43811175307	1.84116081903	2.15062470013	1.83231912482	1.71587368703	1.84948696819	1.54815524302	1.53405484575	1.47371776902	1.63985903997	0.869548090867	1.20077007598	1.32395819882	0.633033883918	-0.505637339942	0.352852479353	-0.316538760577
2.57178981783	4.01467053684	0.485668169495	1.59070251162	3.59267765077	3.14282592929	5.87660646974	6.1535431879	0.916145112775	0.983664520504	0.784774271984	1.55271715136	0.881309642379	1.63777732036	1.82937955627	1.69780561897	1.98261626288	1.71405074372	1.02376700045	1.43780651204	1.84082300437	2.15046947223	1.83181210259	1.71558910999	1.84900698161	1.54794691792	1.53384696484	1.47339148155	1.63829106046	0.867325612227	1.19879823108	1.32178729117	0.631724001407	-0.504677156377	0.352694531054	-0.316885047733
2.57254209643	4.02466166042	0.488258099558	1.59554746194	3.5950732087	3.14592962563	5.87848961508	6.15239486149	0.915467070647	0.983047897323	0.783399260089	1.55188740367	0.880566143531	1.63686510311	1.82926057354	1.69764955178	1.98263043658	1.71366198999	1.02382495574	1.43752992005	1.8405229616	2.15031546747	1.83134468574	1.71532914325	1.84858698516	1.54776445404	1.53366628298	1.47311040899	1.63684138982	0.865254246555	1.19695345747	1.31976432765	0.630520915989	-0.503782578872	0.352570043618	-0.317206588077
2.57330694335	4.03433885472	0.490766765338	1.60023156633	3.59750427339	3.14913612865	5.87997297408	6.15196805623	0.914837694055	0.982475462385	0.782106788253	1.55113340567	0.879884855353	1.63602152463	1.82915108298	1.69751994457	1.98265505631	1.71331547066	1.02387068361	1.43727959574	1.84023215956	2.15020597406	1.83091390749	1.71509393566	1.84821051301	1.54761909724	1.53349515015	1.47286707363	1.63549182165	0.863322783306	1.19523835787	1.31788708867	0.629380411244	-0.502957474498	0.352454674091	-0.317526571418
2.57398953789	4.04369500558	0.493203102873	1.60477420476	3.59977421887	3.15207335885	5.88157394512	6.15101664784	0.91424846813	0.981959235294	0.780912960889	1.5504399434	0.879241070332	1.63523354852	1.82905980226	1.6973987982	1.98269448128	1.71300824962	1.02393724085	1.4370541501	1.83998207068	2.1500807764	1.8305143366	1.71488641173	1.84784073591	1.54748473395	1.53335857461	1.47263259995	1.63424904848	0.86152460077	1.19365856224	1.31612748807	0.628331579393	-0.502171971545	0.352343113075	-0.317811436023
2.57470066375	4.05275931843	0.495571351792	1.60916398363	3.60208579665	3.15506693227	5.88265006581	6.15075572538	0.913705164698	0.981466951768	0.779803660504	1.54978889606	0.878653724675	1.63450519677	1.82897785321	1.69729620753	1.98273014525	1.71270959872	1.0239825563	1.43685471063	1.83972990676	2.14998272241	1.83014680482	1.71468654151	1.84751990558	1.54736073766	1.53324683473	1.47243913945	1.63308536771	0.859846632601	1.1921656909	1.31450849626	0.627362279102	-0.501451997154	0.35224450302	-0.318076490028
2.57534964314	4.06151500832	0.49785995942	1.61341557005	3.60432763983	3.15770449359	5.88475448021	6.14992714608	0.913205554393	0.981022460554	0.778770163104	1.54919094866	0.878089645793	1.63383566901	1.82891066727	1.69719718424	1.9827676805	1.7124393743	1.02403443145	1.43667275133	1.83951893518	2.14989965771	1.82981646048	1.71450552508	1.84721146256	1.54727017317	1.53313600351	1.47225258308	1.63200715057	0.858283562533	1.19078811045	1.31299255979	0.626458586815	-0.500783750474	0.352148406928	-0.318337895325
2.57602141791	4.06999468907	0.500079073962	1.61752959571	3.60654258627	3.16062183766	5.88544148317	6.14996969783	0.912729187753	0.980609292613	0.777792477765	1.5486323182	0.877576832311	1.63320663049	1.82885645497	1.69710893263	1.9828070424	1.71221152602	1.02407720845	1.43649812955	1.83931499456	2.1498156068	1.82949276167	1.71432967979	1.84693876064	1.54716688441	1.53305873552	1.47209495996	1.63101464198	0.856823876739	1.18950246348	1.31157848207	0.625605407862	-0.500156198926	0.352065639739	-0.31857906396
2.57663499559	4.07817835449	0.502219834027	1.62150561071	3.6088089421	3.16311659457	5.88802451874	6.14946144497	0.912295619102	0.980223955282	0.776894527693	1.54813069355	0.877091942191	1.63262743823	1.82879840883	1.69703975225	1.98286434428	1.711986949	1.02413052116	1.43635230927	1.8391242815	2.14975070307	1.8292127824	1.71418036615	1.84667860489	1.5470914717	1.53297798456	1.47194995088	1.63007246551	0.855466218851	1.18829603789	1.31027580619	0.624820461591	-0.499579286115	0.351982753523	-0.318798754992
